ticket_id,subject,status,priority,createdate,closed_date,associated_contact_id,associated_company_id
1,Permissions not updating for new user,In Progress,Medium,2025-02-03,,308,49
2,UI misalignment on Chrome,On Hold,Low,2025-05-06,2025-08-13,464,52
3,Permissions not updating for new user,In Progress,High,2025-07-03,,972,77
4,Unable to log in with SSO,In Progress,Low,2025-02-23,,115,241
5,Workflow automation not triggering,Open,Low,2025-07-09,2025-05-16,790,272
6,API request returning 500 error,On Hold,Medium,2025-07-11,2025-04-13,380,203
7,Broken link in help center,New,High,2025-03-26,,589,238
8,API request returning 500 error,On Hold,High,2025-06-20,2025-06-13,671,156
9,Slow page load times in app,On Hold,Low,2025-03-02,2025-08-26,998,237
10,API request returning 500 error,New,Low,2025-04-10,,875,25
11,Slow page load times in app,In Progress,High,2025-01-12,,768,209
12,Data sync delay between systems,In Progress,Low,2025-08-20,2025-06-15,81,267
13,Duplicate records in database,New,Low,2025-06-15,2025-07-20,578,15
14,Notification emails not being sent,In Progress,Medium,2025-07-22,2025-03-05,673,139
15,Unable to log in with SSO,New,Medium,2025-05-19,,1,278
16,Duplicate records in database,New,High,2025-07-06,2025-05-25,596,111
17,Data sync delay between systems,New,High,2025-03-02,,227,263
18,Integration with Salesforce failing,In Progress,Low,2025-02-02,2025-04-01,557,212
19,Invoice not generating correctly,Open,High,2025-06-28,,191,280
20,Permissions not updating for new user,In Progress,Low,2025-05-05,,352,189
21,Workflow automation not triggering,New,Low,2025-04-01,,784,63
22,Integration with Salesforce failing,Closed,High,2025-02-01,2025-08-21,15,284
23,Integration with Salesforce failing,In Progress,High,2025-03-24,2025-04-15,194,100
24,Trial upgrade not processing,In Progress,Medium,2025-08-22,2025-04-15,609,32
25,Duplicate records in database,New,Medium,2025-03-07,2025-08-01,754,52
26,Data sync delay between systems,Closed,High,2025-02-25,2025-05-22,568,189
27,UI not loading correctly on dashboard,New,High,2025-02-23,,179,30
28,Two-factor authentication setup failing,Closed,Low,2025-06-16,,442,34
29,Integration with Salesforce failing,On Hold,Medium,2025-07-24,,53,68
30,Broken link in help center,Open,Low,2025-03-02,,822,122
31,UI misalignment on Chrome,In Progress,Low,2025-02-01,2025-03-15,617,199
32,Permissions not updating for new user,Open,High,2025-07-02,2025-07-15,872,240
33,Trial upgrade not processing,Closed,High,2025-08-21,,419,175
34,Two-factor authentication setup failing,Open,Medium,2025-02-03,2025-04-02,707,234
35,Two-factor authentication setup failing,Open,Medium,2025-06-10,2025-05-28,522,160
36,Integration with Salesforce failing,In Progress,High,2025-04-28,,19,297
37,Notification emails not being sent,Closed,High,2025-06-30,,669,177
38,Duplicate records in database,New,Medium,2025-02-01,2025-03-27,433,56
39,UI not loading correctly on dashboard,Open,Medium,2025-06-05,2025-07-21,166,179
40,Notification emails not being sent,Closed,Low,2025-01-06,2025-03-08,347,201
41,Integration with Salesforce failing,Closed,Low,2025-07-03,,545,255
42,Broken link in help center,Closed,Low,2025-06-08,,287,167
43,Trial upgrade not processing,Closed,High,2025-03-19,2025-08-10,913,80
44,Data sync delay between systems,On Hold,Low,2025-04-18,,855,138
45,Unable to log in with SSO,New,High,2025-04-15,,65,98
46,Workflow automation not triggering,On Hold,High,2025-05-18,2025-05-08,679,2
47,Unable to log in with SSO,In Progress,Low,2025-05-28,2025-03-22,205,221
48,Invoice not generating correctly,Open,Low,2025-08-15,,499,261
49,Account deactivated unexpectedly,Open,High,2025-02-27,2025-04-03,288,131
50,UI not loading correctly on dashboard,Open,High,2025-07-02,,642,43
